dname,name,level
Architektur,Architecture,MA
Art & Science,Art & Science,MA
Besuch einzelner LV,ausserordentliche Studierende,
Bildende Kunst,Bildende Kunst,Diplom
Bühnengestaltung (MANTHEY),Bühnengestaltung,Diplom
Cross-Disciplinary Strategies,CDS,BA
Cross-Disciplinary Strategies (Master),CDS,MA
Cultural Heritage Conservation and Management,Restaurierung - CHC,MA
Angewandte Fotografie und zeitbasierte Medien,Design: Angewandte Fotografie,Diplom
Design: Kommunikationsdesign,Design: Kommunikationsdesign,Diplom
Mode (LANG),Design: Mode,Diplom
Design: Design und narrative Medien,Design: Narrative Medien,Diplom
Doktoratsstudium Künstlerische Forschung (PhD in Art),PhD (art),PhD
Doktoratsstudium Transformation Studies. Art x Science,PhD (inter),PhD
Dr.-Studium der Naturwissenschaften,PhD (nat),PhD
Dr.-Studium der technischen Wissenschaften,PhD (tech),PhD
Dr.-Studium der Philosophie,PhD (phil),PhD
Digitale Kunst,Medienkunst: Digitale Kunst,Diplom
Medienübegreifende Kunst,Medienkunst: Transmediale,Diplom
ecm - educating/curating/managing,ecm,MA
ecm - educating/curating/making,ecm,MA
Expanded Museum Studies (Master),Expanded Museum Studies,MA
Experimental Game Cultures (Master),Experimental Game Cultures,MA
Industrial Design (PIVA),Industrial Design,Diplom
Restaurierung u. Konservierung (DIETRICH),Restaurierung,Diplom
Kunst- und Kulturwissenschaften (MA),Kunst- und Kulturwissenschaften,MA
Lehramt: Unterrichtsfach dex (BA),Lehramt: dex,BA
Lehramt: Unterrichtsfach dex (MA),Lehramt: dex,MA
Lehramt: Unterrichtsfach kkp (BA),Lehramt: kkp,BA
Lehramt: Unterrichtsfach kkp (MA),Lehramt: kkp,MA
Social Design - Arts as Urban Innovation,Social Design,MA
Sprachkunst (BA),Sprachkunst,BA
Sprachkunst (MA),Sprachkunst,MA
TransArts - Transdisziplinäre Kunst (Bachelor),TransArts,BA
TransArts - Transdisziplinäre Kunst (Master),TransArts,MA
Transformation Studies. Art x Science,Transformation Studies,BA
